,prompt,response
601," Yes, I did.
","Firstly, in order to come under the purview of the Consumer Protection Act of 2019, you will have to show that you have not received this parcel as part of your routine business transactions. Could you please confirm the same? 
"
602," Yes, this was a one-time purchase from the consignor, and was not related to our business. 
","Okay. Did you check with them about the reason for the delay and also the price charged? 
"
603," Yes, I did not get any satisfactory reply. 
","The prices charged may vary based on the size, weight and material sought to be delivered, so you may want to make sure you have proof to demonstrate that you were charged an exorbitant price. 
"
604," Okay. Something similar happened to another person, does that count? 
","It may, but it depends on the product that was in question in that incident. 
</INST> When did you bring the price issue to the attention of the delivery service company? At the time of booking or receiving the parcel? 
"
605," I could not raise it at the time of booking as the consignor did not inform the price that was charged.
","Okay. I understand. Did you ask them for a refund of the excess amount charged, and compensation for the delay in delivery?
"
606," Yes, I did. I brought it up on 15/02/2022, but I was told that the delay was due to unforeseen circumstances, and that prices were a matter of discretion. 
</s> <s><INST> I also approached the customer support team, but didn't get a favorable response. 
","Okay. Did you consider sending them a legal notice?
"
607," Yes, I sent them a notice dated 20/02/2022, but I have not received any reply from them
","Then, would you like to file a complaint before the District Consumer Grievance Redressal Forum? 
"
608," Yes, I would like to.  
","Okay, could you please tell me where your registered office is? 
"
609," It is in the city of Cosmos 
","In that case, you can file a complaint before the Cosmos District Consumer Grievance Redressal Forum within a period of two years from the date of cause of action i.e 15/03/2022. You can either use the E-Daakhil portal to file your complaint, or submit a physical copy of the complaint in the commission. 
Please note that since the value of the product purchased is less than Rs 5 lakhs, you do not have to pay any court fees, but ensure you have the following with you: 
Receipt of the payment made 
Proof in respect of the delay in delivery, and also for the price charged
Legal Notice sent to the opposite party 
If you wish to register your complaint using the E-Daakhil portal, here’s the link that you can use: https://edaakhil.nic.in/ . The portal has an instruction manual that provides you with step-by-step procedure for registering a complaint
</INST> Below is the process for filing a consumer complaint in the Cosmos District Consumer Disputes Redressal Commission for the described dispute through the e-Daakhil platform:
1.	Create Account: If not already registered, create an account on the e-Daakhil portal.
2.	Email Verification: Verify your email address by clicking the link sent to your registered email. Then:
3.	Login: Use  your credentials to login to the portal.
4.	Start New Case: Click on 'File a New Case' from the Filing dropdown menu to initiate your complaint. 
5.	Click consumer complaint.
6.	Read the disclaimer and click “accept”.
7.	Click consumer complaint.
8.	Enter the amount you need as compensation in the claim amount. 
9.	Select the state and the district. Click continue.
10.	You will now land on the Case details page. Enter your name, your address, and your mobile number in the complainant's section. If you want notifications on your email address, you can write your email address.
11.	Enter the Opposite party’s details 
12.	In the Complainant Advocate section, enter details of your advocate. You can leave it blank if you do not have an advocate. 
13.       Fill the complaint section by describing your grievance. Please mention the dates, if 
            applicable.
14.	Upload Documents: Attach your index, complaint, memo of parties, affidavit, and any other evidence you have that you intend to rely on. 
15.	Click continue and verify the details of your complaint. Once you are satisfied, you can submit your complaint.
16.	You will now be taken to the pending complaints page, where you can pay the fees for your complaint. 

</INST> However, please feel free to let me know if you need any assistance with respect to complaint drafting. 
"
610," Yes, it would be really helpful if you could share a template that I could use for reference 
","Sure, that can be done. Could you please specify the name and address of the delivery service company, and other invoice details? 
Company name: ABC Parcel Services Private Limited 
Address: 23/798, 4th street, Simala Nagar, Cosmos-67 
Invoice No:  xxxxxx 
Tracking ID: xxxxxxxxx
</INST> Could you also specify your company’s name and address, and also the consignor’s name and address? 
"
611,"  Consignor - Renaissance  Private Limited, No. 47, 8th street, Infinity-89; Consignee - Sunshine Logistics Private Limited, located at 24/308, 3rd street, Rainbow Avenue, Cosmos-25
","Thanks, here’s a draft complaint along with MoP (Memorandum of Parties) and Affidavit based on the information provided by you 
Complaint 
MoP 
Affidavit
"
612," Thanks
","Is there anything else you want me to assist you with? 
"
613," No, thanks 
","Welcome. Happy to help. I hope you found this conversation useful. Please feel free to contact us again in case of any queries in the future. 
Meanwhile, you can log on to https://consumeraffairs.nic.in/ , or dial 1800-11-4000 (National Consumer Helpline) 
Stay Alert, Stay Safe 
Thank you 

 
"
614," I have been cheated by a real estate developer agency, they have not allotted me a house even after the payment. 
","That should not be the case. I would try to be of as much help as possible. Can you please tell me more about the incident?
"
615," Yes, in April 2019, representatives of Aditya Builders & Developers promised to book a 83.5 sqm flat for me in their Perry's Arcade project, but they have not executed the sale deed despite full payment. 
","Okay. Do you have any brochures or communication regarding this?
"
616," Yes, I have the email conversations and brochure copy with project details. As discussed, I signed the booking agreement on 10.04.2019 and transferred the full amount Rs. 7,34,800 to their HDFC bank account ****1234 via RTGS on 25.04.2019.
","Alright. Do you have the booking agreement and payment proof?
"
617," Yes I have the agreement and payment receipt ready. But despite repeated requests, they have not executed the sale deed in my favor yet.
","When did you last follow up with them on this?
"
618," I have been following up continually since the last 2 years via calls and emails. 
","Okay, thank you for the information. You can file a complaint before the consumer court having jurisdiction to hear the case. For that, you must first send a fifteen-day notice to M/s Aditya Builders and Developers. The same can be sent electronically or by post. Or else, you can also contact the  National  Consumer Helpline using the helpline number 1800-11-4000. The Consumer Helpline will give assistance regarding how you can approach the present dispute. What would you prefer?
"
619," I prefer sending legal notice. 
","Certainly. I will need some more information from you related to the matter. Can you please tell me the following: your full name with address, age, and occupation, and the registered address of the builders' details?
"
620," Sure. My details are: Mrs. Swati Joshi w/o Mr. Santosh Joshi, residing at Flat No. BF-3, 1st Floor, Perry’s Arcade, Near Sharda Classic, Fatorda, Margao – Salcette Goa- 403602, I am a house wife. The  Opposite Party details are: 2. M/s Aditya Builders and Developers Office at Sincro Towers B-2, 2nd Floor, Behind Margao Municipality, Margao Salcette – Goa- 403601

","Thank you for supplying the information! Please find the notice for filing of consumer complaint here. Please note that these are templates that may require certain corrections or modifications and certain details (particularly the date and signature) will need to be filled at your end. 
"
621," Thank you. I want to file a consumer complaint; can you guide me?
","Certainly. I would need some more information from you related to the matter to assist you better. What is the relief that you would wish to pursue through the complaint?
"
622," I want them to allot  me the flat as promised to me in the agreement, and give me compensation for Rs. 5,00,000/- towards harassment.  
","Thank you! Before I give further details regarding the complaint draft, do you want to claim litigation expenses as well? 
"
623," Yes, I want Litigation charges of Rs. 50,000/-. 
","Sure. Since sale consideration is for Rs. 7,34,800/- which is less than Rupees 50 Lakhs Rupees, the complaint will have to be filed in a District Commission. You, as a complainant, reside in Bardez district and the cause of action arises in Bardez. The opposite party carries on business in Margao Salcette . You have the option to file the complaint to North Goa Consumer Disputes Redressal Commission.
"
624," Okay, please tell me about the complaint procedure. 
","Sure. Below is the process for filing a consumer complaint at the North Goa Consumer Disputes Redressal Commission for the described dispute through the e-Daakhil platform:
1.	Create an Account: If not already registered, create an account on the e-Daakhil portal.
2.	Email Verification: Verify your email address by clicking the link sent to your registered email. Then:
3.	Login: Use your credentials to log in to the portal.
4.	Start New Case: Click on 'File a New Case' from the Filing dropdown menu to initiate your complaint. 
5.	Click consumer complaint.
6.	Read the disclaimer and click “accept”.
7.	Click consumer complaint.
8.	Enter the amount you have as compensation in the claim amount. 
9.	Select Goa as the state and North Goa as the district. Click continue.
10.	You will now land on the Case details page. Enter your name, your address, and your mobile number in the complainant's section. If you want notifications on your email address, you can write your email address.
11.	Enter M/s Aditya Builders and Developers Office at Sincro Towers B-2, 2nd Floor, Behind Margao Municipality, Margao Salcette – Goa- 403601 in the opposite party address section. Select the state and district of the registered address. 
12.	In the Complainant Advocate section, enter details of your advocate. You can leave it blank if you do not have an advocate. 
13.	In the Complaint section, write the following: 
“I was promised by representatives of M/s Aditya Budilers and Developers to book a flat measuring 83.5 sqm in the project 'Perry's Arcade' being developed by the opposite parties. I booked the flat through an agreement dated 10.04.2019 and paid the entire sale consideration of Rs. 7,34,800/- to the opposite parties. However, the developers have not executed the sale deed in my favor even after receiving full payment. Despite several oral requests and reminders, the opposite parties ignored the complainants' lawful demands and refused to execute the sale.”
14.	Click continue. You will be taken to the complaint details page. You can enter the following information: Complainant name, complainant address, opposite party name, and the opposite party, click save and continue. 
15.	Upload Documents: Attach your index, complaint, memo of parties, affidavit, and any other evidence you have that you intend to rely on. 
16.	Click continue and verify the details of your complaint. Once you are satisfied, you can submit your complaint.
17.	You will now be taken to the pending complaints page, where you can pay the fees for your complaint. 
Do you also want me to draft a complaint letter for you?

"
625," Yes, that would be really helpful.

","Excellent, I've generated a pre-filled complaint for you with all the details you've provided. You can find it here. Once downloaded, fill in all blank details, review and sign the complaint and verification before a notary public. Then scan the document as a pdf and upload it to the e-daakhil upload documents section. You also need to submit an affidavit and a memo of parties. Do you want me to generate that now?
 
"
626," Yes, Please. 

","Sure. Here is a draft affidavit and Memorandum of Parties. Please print and verify the names and addresses on the memorandum of parties. For the affidavit, please sign it before a notary public and have the affidavit notarized. Both documents should be scanned and uploaded to the e-daakhil portal. Do you have any other questions or is there more information you'd like?

"
627," No, that's all for now. Thanks.

","You're welcome. If you have further questions or need more guidance later, don't hesitate to reach out. Good luck with your complaint.
"
628," Hello, I  faced a problem with my train ticket booking. 

","Could you please provide me some basic details about your grievance so that I have the full context?

"
629," Sure. I had booked two train tickets from Madurai to Chennai for a journey on 20.08.2019. The tickets were booked on 12.08.2019 for me and another elderly, disabled person who was to travel with me. However, when we went to board the train on the day of the journey, we were denied boarding by
 the ticket inspector saying my name was wrongly printed on the ticket.

","I understand. Could you please provide me your full name, age, address and contact details for the records? This would be required when filing the consumer complaint.

"
630," My name is R. Jawahar, I am 70 years old and work at my shop for a living.  My address is - Mela Chinnampatti, Kalvelippatti Post, Vadipatti Taluk, Madurai District, PIN 625514. My mobile number is 9999xxxxxx.

","Thank you for providing your details, Mr Jawahar. Could you also please confirm the complete details of your co-passenger - his name, age, disability details, address and contact number?

"
631," Sure. His name is G. Kannan, age 61 years, Occupation: Retired Employee(Revenue Department). He is physically handicapped and needs my support to travel. His address is - D.No. 2/691, Bharathi Nagar, Kannanendal, Madurai - 625014. His mobile number is 8888yyyyyy. 

","Noted. So if I understand correctly, you and Mr Kannan had booked confirmed train tickets from Madurai to Chennai for the 20.08.2019 journey. But you both were denied boarding due to incorrect names printed for you on the tickets. Right?

"
632," Yes, that is right. When we reached the station and tried to board, the ticket inspector informed me that my name was printed incorrectly as 'Sri Murugan' instead of 'R. Jawahar' on the reservation chart. My age was also wrongly mentioned as 45 years instead of 70 years. Due to this mistake in the chart, we were denied boarding on the train.

","Okay. Could you please confirm:

1. Date when you had booked the tickets: 
2. How did you book the tickets - online or at the station counter?
3. The train PNR number:
4. Exact mistake in the name/age printed on reservation chart:

This will help me capture the full details.

"
633," Sure, here are the details:

1. We booked the tickets on 12.08.2019
2. The booking was done at Madurai Railway station reservation counter by submitting manual requisition form
3. The PNR number was 8765091230 
4. My name was printed as 'Sri Murugan' instead of 'R. Jawahar' and age was shown as 45 years instead of 70 years

I have the ticket copies and reservation form copy for proof.

","Thank you Mr Jawahar. This provides me with the complete context of what transpired. Just a few more questions, what did you do after being denied boarding - did you still travel or cancel your journey? 

"
634," We were forced to cancel our train journey and had to urgently book bus tickets to travel on that day to Chennai. This caused grave inconvenience as the bus journey was much more uncomfortable for us.

","Did you face any financial losses or other difficulties due to this issue?

"
635," We suffered financial loss as we had to purchase costlier bus tickets on urgent booking. We also had to cancel our confirmed return train bookings from Chennai to Madurai scheduled for 21.08.2019, as we did not travel by train on the onward journey.

","As you have used an alternate mode to transport can you please tell the approximate financial loss suffered by you and Mr Kannan due to - 
   a) Purchasing alternative bus tickets
   b) Cancellation of return train tickets

"
636," Financial loss details:
   a) We spent approx Rs 3000 per person on urgent booking of bus tickets
   b) The cancelled return train tickets were of approx Rs 400 per person
","Did you submit any written complaint to Railway authorities and receive any response?

"
637," Yes I submitted a written complaint to railway authorities (on 03.12.2019) regarding deficiency in service and mental agony caused to us. But I did not receive any response or resolution to the complaint.


","So this is a clear case of deficiency of service. You can send a legal notice and also file a complaint against the other party. What do you want me to draft for you?

"
638," Kindly draft the legal notice and the complaint for me. 

","For the purpose of drafting notice and complaint, could you please confirm your residential address again so I have it on record for jurisdiction purposes.

"
639," My residential address is  Mela Chinnampatti, Kalvelippatti Post, Vadipatti Taluk, Madurai District, PIN 625514. 

","Do you have any documents evidencing the train reservation, complaint to railway etc that can be enclosed with the consumer complaint?Please upload them.

"
640," Yes I have the following documents and uploaded them.
   - Original train reservation ticket 
   - Cancelled return reservation tickets
   - Copy of manual reservation form submitted to book tickets
   - Copy of written complaint dated 03.12.2019 submitted to Railways
   - Copy of reservation chart showing incorrect details

","Thank you. On the basis of the documents that you have given me, I have drafted a pre-filled notice that you can access here and the complaint that you can access here. Please fill in the details that have been left blank, such as the date and your signature. In addition to the complaint, you must also submit an affidavit and a document called the “Memorandum of Parties”. Do you want me to provide you with the pre-filled versions of the same?

"
641," Yes, it will be great if you can do that as well.
","You can access the Affidavit here and the Memorandum of Parties here. You are required to fill in the details that have been left empty in both the documents. Further, you must get the affidavit notarised. In case of any queries regarding how you can get the Affidavit notarised, feel free to approach me anytime. After filling all the documents and getting the affidavit notarised, you can file your complaint on E-daakhil, the portal for consumer redressal. Do you want me to provide you with a step-by-step guide on how to file your complaint on E-daakhil?
"
642," Yes, it will be great if you can give me a step-by-step guide on how I can file this.
","You have to follow these steps in order to file a complaint:-
Create an account on E-daakhil.
Verify your email address and login
Go to “Consumer Complaint” and accept the terms and conditions by clicking the “accept” button after carefully reading the terms. If you have any queries regarding the terms, please let me know.
Click “Consumer Complaint” and enter the claim amount that you are seeking.  
Select Tamil Nadu as the State and Madurai as the district. Click continue to proceed to the “Case Details” page.
On the “Case Details” page, enter all the necessary details and in case of any queries, please let me know.
In the “Party Name” section, enter the name of the parties. In the “Advocate” Section, enter the details of your advocate and if you do not have an advocate, you can leave it blank.
 In the “Complaint Section”, you can provide the following as your complaint:-
The complaint alleges that Southern Railways erroneously printed the name and age of two senior citizens on their train tickets, leading to denial of boarding. Despite correct details submitted in the reservation form, the mistake caused inconvenience, extra expenses, and cancellation of return tickets. Multiple complaints to Railway authorities yielded no resolution, indicating a lack of fair and honest practices. The complainants seek a remedy from the District Consumer Disputes Redressal Commission for the mental trauma, harassment, and financial loss endured.

In the next section, enter the necessary details and attach a filled copy of the Complaint and the Affidavit along with the Memorandum of Parties. 
In the next section, verify the details of your complaint and submit your complaint.
On the “Pending Complaints” page, you will be required to pay the necessary fees.  
Please note that under the Consumer Protection Act 2019, the Consumer Court can request the parties to go for mediation. However, both parties must agree for the matter to be sent for mediation. However, if the parties do not arrive at an amicable settlement, the matter is sent back to the court.
"
643," Got it. I will not agree for mediation.
","In that case, the consumer court in Madurai has to proceed with the case. If you have further questions or need more guidance later, don't hesitate to reach out. In case you get any problem in the above process or have any doubt, I  I would suggest you contact the state consumer helpline at 044-28592828 Call centre Assistants are available between 9-30 AM to 6-00 PM on all working days of Government of Tamil Nadu or you can call the National Consumer Helpline at 1800-11-4000 for information, advice, or guidance on complaints. You can also call 14404 or send a message to 8130009809. You can also register a complaint through the NCH app. Is there anything else you need?

"
644," No
","It was great to assist you!




"
645," Hello. I purchased a new car recently but I'm facing some serious issues with it. I would like to file a complaint against the car manufacturer and dealer.

","I'm sorry to hear that. Let's discuss this in detail so I can understand the full context and help you draft a complaint. Could you please mention your name? 

"
646," My name is P. Shankar
 
","What is your age?
"
647,"40
 
","What is your Occupation?
"
648," I am employee at Raymond

","What is your Address?
 "
649," I reside at No.14, Valarmathi Compound, Indra Nagar, Vedasandur, Dindigul District. 

","Thank you for providing your details Mr. Shankar. Can you please explain what happened from the beginning so I have the complete timeline of events?

"
650," Sure. On 26th April 2017, I booked a new Ciaz Alpha Diesel car from the authorized Maruti Suzuki dealer - Asir Automobiles Pvt Ltd, located at Chellam Bappusamy Hall, 80 Feet Road, KK Nagar, Madurai. I paid 10 lakhs for this care and the same is reflected in the invoice no. 5624.

","Okay, let me note down the name and address of the authorized dealer - Asir Automobiles Pvt Ltd, Chellam Bappusamy Hall, 80 Feet Road, KK Nagar, Madurai. Please continue.

"
651," The dealer delivered the new car to me on 8th May 2017. I took the car from the showroom directly to a nearby temple. While returning home, within a few kilometers of driving, there was smoke and fire erupting from the front of the car and it came to an abrupt halt. Luckily my family and I could come out safely without any injuries. 

","That must have been a terrifying experience! I understand the car caught fire suddenly on 8th May 2017 while you were driving back from the temple. What did you do next after this incident?

"
652," I immediately called the dealer Asir Automobiles around 8:30 PM on the same day and informed them about this manufacturing defect. I requested them to take back this defective vehicle and provide a replacement. 

","Makes sense. So on 8th May 2017 itself you contacted the dealer and asked for a replacement due to a manufacturing defect. What was their response?

"
653," But the dealer did not agree to replace the car. They just sent their service technicians the next day to repair that specific defective vehicle. 

","Hmm...so the dealer refused to replace the car and tried to simply repair the same defective vehicle. What steps did you take then?

"
654," I submitted a written complaint to the Inspector of Police, Anna Nagar Police Station, Madurai on 9th May 2017 regarding this matter, requesting appropriate action.

","Okay, you submitted a police complaint on 9th May 2017 to highlight this issue. Did the dealer take any further steps after your police complaint?

"
655," Shockingly, the dealer submitted a false counter-complaint to the same Inspector on 11th May 2017. They claimed that only some minor repairs were done to the AC compressor and belt of my car, and that I was insisting on a replacement without reason.

","Right, so the dealer actually tried to cover this up by submitting a false counter-complaint. This is definitely unethical. What was the final resolution of this issue?  

"
656," Ultimately, I was forced to book another new Ciaz car of the same model on 15th May 2017. The dealer asked me to pay Rs 1 lakh to them first before they would give the replacement car. Only after I paid this amount, they provided the replacement car on 24th May 2017.

","I understand - you had to unwillingly pay Rs 1 lakh extra and book another new car to get your issue resolved. That is unfair treatment. Have you taken any action like sending legal notice? 

"
657," Yes, I had sent a legal notice to both the dealer Asir Automobiles and the car manufacturer Maruti Suzuki via registered post on 14th October 2017. But they failed to respond to my notice.

","Here is the notice if you wish to send it again. I think you should file a consumer complaint. Would you like me to draft a complaint for you?

"
658," Yes, kindly draft  a complaint for me. 

","For this I would like to have some additional information. Do you have documentation for all the evidence, like car invoice, dealer communication, police complaint copy etc?
"
659," I have maintained proper documentation of all evidence like the car invoice, dealer communications, police complaint copy, amount paid receipts etc. I can provide photocopies of these documents as annexures to the complaint.


","The jurisdiction for the complaint can be District Consumer Disputes Redressal Commission, Madurai, New Delhi and Dindigul . Where would you like to file the complaint?

"
660," I  would like to file a complaint at Madurai. 

","What compensation amount are you seeking from the dealer and manufacturer?

"
661," I am seeking a compensation amount of Rs 2 lakhs from the dealer and manufacturer for their negligent service and unfair trade practice. 


","Thank you. On the basis of the documents that you have given me, I have drafted a pre-filled complaint that you can access here. Please fill in the details that have been left blank, such as the date and your signature. In addition to the complaint, you must also submit an affidavit and a document called the “Memorandum of Parties”. Do you want me to provide you with the pre-filled versions of the same?

"
662," Yes, it will be great if you can do that as well.
","You can access the Affidavit here and the Memorandum of Parties here. You are required to fill in the details that have been left empty in both the documents. Further, you must get the affidavit notarised. In case of any queries regarding how you can get the Affidavit notarised, feel free to approach me anytime. After filling all the documents and getting the affidavit notarised, you can file your complaint on E-daakhil, the portal for consumer redressal. Do you want me to provide you with a step-by-step guide on how to file your complaint on E-daakhil?
"
663," Yes, it will be great if you can give me a step-by-step guide on how I can file this.
","You have to follow these steps in order to file a complaint:-
Create an account on E-daakhil.
Verify your email address and login
Go to “Consumer Complaint” and accept the terms and conditions by clicking the “accept” button after carefully reading the terms. If you have any queries regarding the terms, please let me know.
Click “Consumer Complaint” and enter the claim amount that you are seeking.  
Select Tamil Nadu as the State and Madurai as the district. Click continue to proceed to the “Case Details” page.
On the “Case Details” page, enter all the necessary details and in case of any queries, please let me know.
In the “Party Name” section, enter the name of the parties. In the “Advocate” Section, enter the details of your advocate and if you do not have an advocate, you can leave it blank.
 In the “Complaint Section”, you can provide the following as your complaint:-”The complainant, P. Shankar, booked a Maruti Suzuki Ciaz Alpha Diesel car from Asir Automobiles Pvt. Ltd., an authorized dealer of Maruti Suzuki India Ltd. After receiving the car on 08.05.2017, it experienced a manufacturing defect, resulting in smoke and fire within a few kilometers. Despite notifying the dealer immediately and requesting a replacement, only minor repairs were carried out. Frustrated with the lack of acknowledgment of the defect, the complainant was forced to pay Rs. 1 Lakh for a new replacement car. The complainant alleges deficiency in service and unfair trade practice by the Opposite Parties.”

“The complainant, an auto driver, has filed a complaint against Fortune Integrated Assets. In the next section, enter the necessary details and attach a filled copy of the Complaint and the Affidavit along with the Memorandum of Parties. 
In the next section, verify the details of your complaint and submit your complaint.
On the “Pending Complaints” page, you will be required to pay the necessary fees.  
Please note that under the Consumer Protection Act 2019, the Consumer Court can request the parties to go for mediation. However, both parties must agree for the matter to be sent for mediation. However, if the parties do not arrive at an amicable settlement, the matter is sent back to the court.In case you get any problem in the above process or have any doubt, I would suggest you contact the National Consumer Helpline at 1800-11-4000 for information, advice, or guidance on complaints. You can also call 14404 or send a message to 8130009809. You can also register a complaint through the NCH app. Is there anything else you need?
"
664," Got it. I will not agree for mediation.
","In that case, the consumer court in Madurai has to proceed with the case.
"
665," Got it. Thank you very much!
","You are welcome. Feel free to raise further queries anytime. Best wishes.
"
666," Hi, I need help filing a consumer complaint regarding an issue I'm facing with a finance company.
","Could you please explain the complete details about your issue?

"
667," Okay, here is the background - My name is Syed Sidiq Pasha and I am an auto driver residing in Mahabubnagar. In November 2016, I purchased an auto rickshaw bearing registration number TS 06 UB 3143 from a dealer named Samskruthi Automobiles.

","</INST> What problem did you face ?

"
668," This auto was originally purchased by another person named Varanasi Ashanna. He had obtained finance from a company called Fortune Integrated Assets Finance Ltd to buy the auto on loan. Ashanna could not pay the monthly installments for the loan regularly. So Fortune Integrated seized the auto from him. That's when Samskruthi Automobiles, who is an agent for Fortune Integrated, sold the seized auto to me in November 2016 and according to the terms of agreement I would pay the remaining loan installments to Fortune Integrated in monthly payments.

","Understood. Please provide more details about the terms of payment for purchasing this pre-used auto from Samskruthi Automobiles.

"
669," As per the agreement, I had to pay Fortune Integrated the balance loan amount in 30 monthly installments of Rs. 5,800 each. I paid 4 installments upfront at the time of purchase in November 2016.I paid them regularly the remaining installment for over 2 years.

","Great. Please confirm how many installments you paid in total before any issue arose?

"
670," I paid 27 installments promptly till March 2019, paying almost Rs. 1,56,600. Then I approached Samskruthi Automobiles requesting them to accept the remaining 3 installments in full so I could get the auto registration transferred to my name.But Samskruthi Automobiles started behaving strangely at that time. They said they had misplaced my agreement and kept delaying and postponing the matter whenever I approached them.

","Did you follow up with them again after this?

"
671," Yes, I followed up with them continuously after that for almost 1 year but they kept stalling. And then in February 2020, they seized my auto arbitrarily without any prior notice.Then they started demanding additional ₹78,874 for releasing my auto despite having already received ₹1,56,600 from me.

","Did they explain why they were demanding this additional amount?

"
672," They gave some vague reasons that I had pending installments and interest due. But it was all lies to try and extract more money from me. I had already paid as per the original agreement terms.

","In that case we should send a legal notice to the opposite party. May I draft a legal notice for you.

"
673," Yes, Kindly draft the notice. 

","Kindly note, in order to draft the legal notice, I will need your proper address and the address of the opposite party.

"
674," My address is Syed Sidiq Pasha, S/o Syed Yousuf, Aged 52 years, Occ: Auto Driver, R/o H.No.4-2-16/6, Ramaiah Bowli, Mahabubnagar town & district and the opposite party address is The Authorized Signatory, Samskruthi Automobiles, RSP with: Fortune Integrated Assets Finance Ltd., #5-85/20A, Srinivasa Colony, Mahabubnagar town. 


","Here is the draft notice. Remember to put your signature before you send it in hard copy and put e-signature in case you are sending the soft copy. .In case you get any problem in the above process or have any doubt, I would suggest you to call the National Consumer Helpline at 1800-11-4000 for information, advice, or guidance on complaints. You can also call 14404 or send a message to 8130009809. You can also register a complaint through the NCH app. Is there anything else you need?
 Do you also need me to draft the complaint? 

"
675," I have already approached them so many times I do not think notice will have any impact on the conduct of the opposite party. Please go ahead and draft the initial complaint. I'll review it and provide my inputs.

","Could you please tell what relief you expect from the court, do you want your vehicle back or do you need your money as compensation for deficiency in service on the part of the opposite party. This will help me to specify the remedy in the complaint.

"
676," I want my vehicle back and some compensation for the loss I have suffered due to arbitrary seized possession of my vehicle.

","Thanks for sharing the address. With respect to the jurisdiction, the District Consumer Dispute Redressal Commission at Mahabubnagar will have jurisdiction as both the parties have residence and office at Mahabubnagar. I hope this works for you. 

"
677," Yes, the jurisdiction of District Consumer Dispute Redressal Commission at Mahabubnagar would work fine for me.  

","Sure, I'll draft the initial version of the consumer complaint for your review covering all the details we discussed today. Please share any supporting documents that you may have regarding your purchase, payments made, seizure notice etc. along with a copy of your agreement. This will help me represent the facts better.

"
678," I have uploaded the documents here. 
","Thank you. On the basis of the documents that you have given me, I have drafted a pre-filled complaint that you can access here. Please fill in the details that have been left blank, such as the date and your signature. In addition to the complaint, you must also submit an affidavit and a document called the “Memorandum of Parties”. Do you want me to provide you with the pre-filled versions of the same?

"
679," Yes, it will be great if you can do that as well.
","You can access the Affidavit here and the Memorandum of Parties here. You are required to fill in the details that have been left empty in both the documents. Further, you must get the affidavit notarised. In case of any queries regarding how you can get the Affidavit notarised, feel free to approach me anytime. After filling all the documents and getting the affidavit notarised, you can file your complaint on E-daakhil, the portal for consumer redressal. Do you want me to provide you with a step-by-step guide on how to file your complaint on E-daakhil?
"
680," Yes, it will be great if you can give me a step-by-step guide on how I can file this.
","You have to follow these steps in order to file a complaint:-
Create an account on E-daakhil.
Verify your email address and login
Go to “Consumer Complaint” and accept the terms and conditions by clicking the “accept” button after carefully reading the terms. If you have any queries regarding the terms, please let me know.
Click “Consumer Complaint” and enter the claim amount that you are seeking.  
Select Telangana as the State and Mahaboob nagar as the district. Click continue to proceed to the “Case Details” page.
On the “Case Details” page, enter all the necessary details and in case of any queries, please let me know.
In the “Party Name” section, enter the name of the parties. In the “Advocate” Section, enter the details of your advocate and if you do not have an advocate, you can leave it blank.
 In the “Complaint Section”, you can provide the following as your complaint:-
“The complainant purchased the auto from Samskruthi Automobiles in November 2016 and paid 27 installments amounting to ₹1,56,600 by March 2019. Despite follow ups, they arbitrarily seized your auto in Feb 2020 without notice. And then demanded additional ₹78,874 for release without justification.”
In the next section, enter the necessary details and attach a filled copy of the Complaint and the Affidavit along with the Memorandum of Parties. 
In the next section, verify the details of your complaint and submit your complaint.
On the “Pending Complaints” page, you will be required to pay the necessary fees.  
Please note that under the Consumer Protection Act 2019, the Consumer Court can request the parties to go for mediation. However, both parties must agree for the matter to be sent for mediation. However, if the parties do not arrive at an amicable settlement, the matter is sent back to the court.
"
681," Got it. I will not agree for mediation.
","In that case, the consumer court in Mahabubnagar has to proceed with the case
"
682," Thank you very much for the assistance!
","You are welcome. Feel free to raise further queries anytime. Best wishes.

"
683," I have issues with my SB Account. Can you help me resolve it.
","Certainly. Could you please provide me with further details 
"
684," I've had an SB Account with the State Bank of India, Dondaparthi Branch for many years. Recently, Mr. Sharma, a Senior Associate of the bank,  advised me to open fixed deposits to receive better benefits. Trusting his advice and my faith in the bank, I handed over three cheques, each drawn for Rs. 7,00,000, to Mr. Sharma to have deposits made in the names of my three children.
","And what happened after you handed over the cheques to Mr. Sharma?
"
685,"  Unfortunately, I did not receive any fixed deposit certificates as expected. Despite my repeated requests and visits to Mr. Sharma, he kept postponing the issuance of the certificates, stating that they were still under process. However, I later discovered that Rs. 3441 each was being credited to my account from 28/11/2017 onwards against an annuity pension scheme, which I never agreed to or signed up for.
","That sounds like a concerning situation. Did you raise your concerns with the Manager or anyone else at the bank?
"
686,"  Yes, I approached the Branch Manager in February 2018 and informed them that I never requested or agreed to any policies. I also mentioned that even if policies were issued, I never received any documents related to them. I explained that had I been served with the documents, I would have been able to cancel the policies within the free look period.
","Have you received any response from the opposite parties regarding your complaints?
"
687,"  Unfortunately, despite sending several reminders between 01/10/2019 and 24/07/2021, the opposite parties did not address my concerns or take any action. Finally, on 07/02/2020, they rejected my request to cancel the policies.
","I see. It seems like the opposite parties have not been responsive to your grievances. Could you please mention what is the remedy that you are seeking for.
"
